"Date","Last"
2015-01-04,261.23
2015-01-05,277.26
2015-01-06,285.85
2015-01-08,284.17
2015-01-09,288.16
2015-01-10,276.88
2015-01-11,266.73
2015-01-12,269.38
2015-01-13,222.13
2015-01-14,176.04
2015-01-15,208.74
2015-01-16,207.94
2015-01-17,199.69
2015-01-18,210.8
2015-01-19,216.82
2015-01-20,212.01
2015-01-21,224.62
2015-01-22,232.12
2015-01-23,231.98
2015-01-24,247.47
2015-01-25,252.97
2015-01-26,272
2015-01-27,263.02
2015-01-28,235.68
2015-01-29,231.27
2015-01-30,229.38
2015-01-31,222.62
2015-02-01,226.82
2015-02-02,239.25
2015-02-04,227.24
2015-02-05,218.01
2015-02-06,223.62
2015-02-07,228.62
2015-02-08,224.02
2015-02-09,220.28
2015-02-10,220.75
2015-02-11,219.72
2015-02-12,223
2015-02-13,235.81
2015-02-14,258.7
2015-02-15,233.52
2015-02-16,236.49
2015-02-17,242.95
2015-02-18,235.3
2015-02-19,241.72
2015-02-20,244.65
2015-02-21,245.52
2015-02-22,236.25
2015-02-23,239.72
2015-02-24,240.09
2015-02-25,238.33
2015-02-26,237.55
2015-02-27,256.04
2015-02-28,255.16
2015-03-01,259.8
2015-03-02,273.22
2015-03-03,281.17
2015-03-04,272.57
2015-03-05,276.4
2015-03-06,273.6
2015-03-07,276.52
2015-03-08,275.27
2015-03-09,289.09
2015-03-10,294.05
2015-03-11,296.54
2015-03-12,295.38
2015-03-13,289
2015-03-14,283.26
2015-03-15,286.77
2015-03-16,291.73
2015-03-17,285.67
2015-03-18,255.5
2015-03-19,261.76
2015-03-20,262.74
2015-03-21,260.61
2015-03-22,268.84
2015-03-23,268.09
2015-03-24,248.92
2015-03-25,246.77
2015-03-26,248.98
2015-03-27,248.95
2015-03-28,253.56
2015-03-29,243.12
2015-03-30,247.44
2015-03-31,246.56
2015-04-01,247.04
2015-04-02,252.62
2015-04-03,254.92
2015-04-04,255.03
2015-04-05,258.23
2015-04-06,256.68
2015-04-07,255.46
2015-04-08,246.46
2015-04-09,243.7
2015-04-10,235.22
2015-04-11,236.57
2015-04-12,236.78
2015-04-13,223.14
2015-04-14,217.48
2015-04-15,222.17
2015-04-16,229.9
2015-04-17,223.47
2015-04-18,224.59
2015-04-19,223.09
2015-04-20,224.68
2015-04-21,233.68
2015-04-22,234.37
2015-04-23,236.42
2015-04-24,231.59
2015-04-25,228.07
2015-04-26,219.54
2015-04-27,233.8
2015-04-28,226.27
2015-04-29,227.25
2015-04-30,237.07
2015-05-01,235.7
2015-05-02,236.94
2015-05-03,240.95
2015-05-04,239.82
2015-05-05,236.43
2015-05-06,231.81
2015-05-07,238.5
2015-05-08,245.18
2015-05-09,242.95
2015-05-10,241.4
2015-05-11,243.45
2015-05-12,242.99
2015-05-13,237.08
2015-05-14,236.99
2015-05-15,236.99
2015-05-16,238.1
2015-05-17,237.36
2015-05-18,233.8
2015-05-19,233.93
2015-05-20,234.78
2015-05-21,236.42
2015-05-22,240.71
2015-05-23,240.32
2015-05-24,241.93
2015-05-25,237.82
2015-05-26,238.51
2015-05-27,237.62
2015-05-28,238.69
2015-05-29,238.25
2015-05-30,233.34
2015-05-31,231.53
2015-06-01,221.67
2015-06-02,226.09
2015-06-03,227.12
2015-06-04,225.88
2015-06-05,226.6
2015-06-06,226.69
2015-06-07,224.23
2015-06-08,229.23
2015-06-09,231.12
2015-06-10,230.54
2015-06-11,230.89
2015-06-12,231.48
2015-06-13,233.67
2015-06-14,234.28
2015-06-15,237.5
2015-06-16,248.18
2015-06-17,248.77
2015-06-18,249.87
2015-06-19,246.89
2015-06-20,245.5
2015-06-21,245.7
2015-06-22,248.71
2015-06-23,246.42
2015-06-24,242.73
2015-06-25,243.59
2015-06-26,244.4
2015-06-27,252.34
2015-06-28,250.75
2015-06-29,255.98
2015-06-30,264.28
2015-07-01,260.67
2015-07-02,256.99
2015-07-03,257.44
2015-07-04,263.07
2015-07-05,270.82
2015-07-06,274.63
2015-07-07,267.22
2015-07-08,267.85
2015-07-09,271.61
2015-07-10,286.05
2015-07-11,293.89
2015-07-12,307.93
2015-07-13,292.88
2015-07-14,290.24
2015-07-15,291.73
2015-07-16,280.27
2015-07-17,279.31
2015-07-18,274.59
2015-07-19,274.86
2015-07-20,278.24
2015-07-21,279.62
2015-07-22,277
2015-07-23,277.7
2015-07-24,289.04
2015-07-25,288.87
2015-07-26,293.41
2015-07-27,296.44
2015-07-28,295.48
2015-07-29,291.8
2015-07-30,288.34
2015-07-31,285.67
2015-08-01,281.27
2015-08-02,283.05
2015-08-03,284.6
2015-08-04,286.84
2015-08-05,284.28
2015-08-06,280.44
2015-08-07,280.57
2015-08-08,266.73
2015-08-09,265.78
2015-08-10,265.58
2015-08-11,270.35
2015-08-12,270.02
2015-08-13,265.83
2015-08-14,268.31
2015-08-15,264.38
2015-08-16,259.43
2015-08-17,258.88
2015-08-18,253.23
2015-08-19,224.46
2015-08-20,236.78
2015-08-21,233.62
2015-08-22,230.96
2015-08-23,227.89
2015-08-24,210.56
2015-08-25,222.1
2015-08-26,226.81
2015-08-27,227.85
2015-08-28,233.91
2015-08-29,230.26
2015-08-30,228.41
2015-08-31,231.74
2015-09-01,227.02
2015-09-02,230.87
2015-09-04,232.22
2015-09-05,236.73
2015-09-06,241.68
2015-09-07,241.53
2015-09-08,244.63
2015-09-09,239.8
2015-09-10,240.43
2015-09-11,242.03
2015-09-12,237.63
2015-09-13,230.29
2015-09-14,232.47
2015-09-15,230.79
2015-09-16,229.67
2015-09-17,234.37
2015-09-18,234.89
2015-09-19,233.31
2015-09-20,231.68
2015-09-21,228.65
2015-09-22,230.86
2015-09-23,231.51
2015-09-24,234.91
2015-09-25,235.82
2015-09-26,236.48
2015-09-27,234.18
2015-09-28,240.16
2015-09-29,238.57
2015-09-30,238.04
2015-10-01,238.93
2015-10-02,238.64
2015-10-03,241.37
2015-10-04,239.89
2015-10-05,241.43
2015-10-06,246.92
2015-10-07,245.09
2015-10-08,245.03
2015-10-09,246.4
2015-10-10,247.35
2015-10-11,249.82
2015-10-12,247.22
2015-10-13,250.59
2015-10-14,255.11
2015-10-15,256.46
2015-10-16,262.76
2015-10-17,270.78
2015-10-18,264.26
2015-10-19,265.12
2015-10-20,270.11
2015-10-21,269.68
2015-10-22,275.35
2015-10-23,277.87
2015-10-24,281.42
2015-10-25,287.02
2015-10-26,286.95
2015-10-27,298.13
2015-10-28,303.26
2015-10-29,315.59
2015-10-30,323.84
2015-10-31,312.4
2015-11-01,325.32
2015-11-02,361.72
2015-11-03,400.82
2015-11-04,393.34
2015-11-05,390.85
2015-11-06,374.15
2015-11-07,388.04
2015-11-08,374.33
2015-11-09,382.32
2015-11-10,333.31
2015-11-11,307.82
2015-11-12,333.84
2015-11-13,340.19
2015-11-14,339.2
2015-11-15,320.2
2015-11-16,330.36
2015-11-17,338.43
2015-11-18,337.58
2015-11-19,327.81
2015-11-20,321.43
2015-11-21,326.35
2015-11-22,326.07
2015-11-23,325.05
2015-11-24,322.86
2015-11-25,327.66
2015-11-26,350.88
2015-11-27,360.6
2015-11-28,356.06
2015-11-29,373.67
2015-11-30,378.64
2015-12-01,364.2
2015-12-02,360.77
2015-12-03,361.96
2015-12-04,363.5
2015-12-05,390.99
2015-12-06,395.53
2015-12-07,396.66
2015-12-08,398.01
2015-12-09,417.65
2015-12-10,416.8
2015-12-11,449.19
2015-12-12,433.56
2015-12-13,435.9
2015-12-14,443.38
2015-12-15,463.69
2015-12-16,454.03
2015-12-17,456.63
2015-12-18,464.2
2015-12-19,462.27
2015-12-20,442.87
2015-12-21,435.98
2015-12-22,437.32
2015-12-23,443.79
2015-12-24,453.76
2015-12-25,456.13
2015-12-26,415.43
2015-12-27,424.47
2015-12-28,422.24
2015-12-29,430.56
2015-12-30,428
2015-12-31,431.4
2016-01-01,434.65
2016-01-02,435.3
2016-01-03,429.54
2016-01-04,434.64
2016-01-05,434.18
2016-01-06,433.21
2016-01-07,456.82
2016-01-08,455.13
2016-01-09,452.07
2016-01-10,448.47
2016-01-11,449.65
2016-01-12,447.63
2016-01-13,433.17
2016-01-14,430.21
2016-01-15,361.11
2016-01-16,387.95
2016-01-17,381.66
2016-01-18,387.4
2016-01-19,380.58
2016-01-20,419.67
2016-01-21,411.85
2016-01-22,383
2016-01-23,388.14
2016-01-24,403.37
2016-01-25,392.93
2016-01-26,393.74
2016-01-27,397.55
2016-01-28,381.34
2016-01-29,378.93
2016-01-30,379.43
2016-01-31,369.02
2016-02-01,373.24
